id_entity|occupation|type
urn:uuid:e4135410-3e75-47dd-81a8-358ccb5d1276|politician|jurist
urn:uuid:e9e95237-39ea-460e-a26c-9cd6526c7614|politician|jurist
urn:uuid:8beac9d6-1f62-427b-b5a2-3c691ae703b3|politician|jurist
urn:uuid:7ff24726-ec13-486e-970e-f6cea58f7abe|politician|jurist
urn:uuid:387b6195-5104-42f7-9c7c-d7bdd8d58e45|politician|jurist
urn:uuid:6d540dc6-3b39-4938-8f63-00adb35a4e32|politician|jurist
urn:uuid:92592099-2f23-4f74-85ae-ec358b4487cf|politician|jurist
urn:uuid:f4e7d548-91fd-4883-9344-f8ef2e1054d6|politician|jurist
urn:uuid:2a7029b1-a6ff-4540-ae67-ce6454e8e130|politician|jurist
urn:uuid:92d6e0ed-add1-465e-ad62-4f8c2e659280|politician|jurist
urn:uuid:9a9dc550-d41e-4e3b-875b-49debc0c7d51|politician|jurist
urn:uuid:1abef0e2-f3a0-425b-8475-c7f8f1edc4a2|politician|jurist
urn:uuid:cf7702f7-2e4a-4dd9-af50-a13895152a65|politician|jurist
urn:uuid:f885c3a0-3157-4e17-8874-afbe0b32511f|politician|jurist
urn:uuid:514f3d8e-7223-4b56-b4f6-4bee4251ed6f|politician|economist
urn:uuid:99e84713-d7a7-4ef4-ac95-48af780d5047|politician|jurist
urn:uuid:726e2af1-5b60-4ead-b42f-1419db003de1|politician|jurist
urn:uuid:d084775c-a345-4c0c-8603-1c62a6ef28fe|politician|jurist
urn:uuid:abb2d222-2316-4c6c-8338-d0af1323d2fa|politician|jurist
urn:uuid:01b74540-416e-4ccf-bd41-f48b8b34c16c|politician|jurist
urn:uuid:cced5668-9ce4-49ca-a452-e5e180e83170|politician|jurist
urn:uuid:d3ebbad9-3d85-466b-b13d-5f37a22a749b|politician|economist
urn:uuid:2226015a-e765-4ec6-ac11-0765bfc36172|politician|jurist
urn:uuid:a8a57603-b82c-4ca8-b883-b22911f5b033|politician|jurist
urn:uuid:4084fbcb-8543-49ec-b7cf-50cf18530c7f|politician|jurist
urn:uuid:8e59ec4c-d310-4298-97f4-f746eb6ee513|politician|jurist
urn:uuid:fb4c51eb-278e-45c5-a760-26392d5120b3|politician|economist
urn:uuid:cf31e4ce-4a4b-4dd0-a5ba-6e336d02304c|politician|jurist
urn:uuid:8c0fff6b-804d-48eb-887c-5db9266b758d|politician|economist
urn:uuid:fbffb415-2fc7-4e44-80b8-be238c8bbe6b|politician|jurist
urn:uuid:d0151e54-2484-459b-a161-096c094de9e7|politician|economist
urn:uuid:429bde3b-99f7-4d01-a19f-84385bfb9348|politician|jurist
urn:uuid:3da7d492-da0b-4c77-9469-2abbcae1aa56|politician|jurist
urn:uuid:4a911ca0-be09-415d-a381-3fc4be48d6c9|politician|jurist
urn:uuid:a0430a9a-2157-459b-88d6-3b61e1f19b62|politician|jurist
urn:uuid:786fbe33-69b5-4105-b739-ef751956f952|politician|jurist
urn:uuid:f563f0c5-ce47-4969-8a65-0ccab2833e1c|politician|jurist
urn:uuid:0237bdfe-d4fe-43ab-a992-3e0baa6d2e76|politician|jurist
urn:uuid:59c5dc58-24d0-4e78-a2c7-ec26eacbc7ec|politician|jurist
urn:uuid:f067d465-b13f-4abe-b55f-809521ad189c|politician|jurist
urn:uuid:06c86ff2-556e-48aa-b73a-fa315cf2d655|politician|jurist
urn:uuid:6f7d136d-ab5e-4f48-a193-a0af70c81166|politician|jurist
urn:uuid:1bcf73b3-d024-4be3-a253-1a0cee17a5f4|politician|jurist
urn:uuid:357fde79-0563-4944-95ae-9859c94261a1|politician|jurist
urn:uuid:27d6039e-84a6-4d0c-ac97-d664b2f0482d|politician|jurist
urn:uuid:09dd9967-6af3-4d43-a030-4a9875dcf764|politician|economist
urn:uuid:bb2433e3-c50a-43ac-8b7d-a22787762a0c|politician|jurist
urn:uuid:482fda87-9601-4977-8e38-314686f5a27e|politician|jurist
urn:uuid:e2485d15-3233-43b2-8419-80f21222cc1a|politician|economist
urn:uuid:1b03dbbb-70d4-4796-8948-419e3c359357|politician|economist
urn:uuid:d5386ff2-a152-4fcb-b157-508d79911c0b|politician|jurist
urn:uuid:000112b4-4917-4e23-a009-0c9bf8b6457b|politician|jurist
urn:uuid:5278a9ed-b777-403d-95e1-eacd4b9411e5|politician|jurist
urn:uuid:1dde5b43-a48b-4c73-a7dc-0f5b4aafbcee|politician|jurist
urn:uuid:c391d0c0-b09c-45f3-8947-e845c3c4212e|politician|economist
urn:uuid:fae65d96-12c3-4683-baa2-4a1d3e658799|politician|jurist
urn:uuid:b3f77805-8b41-4fee-b291-33928c06a1cf|politician|jurist
urn:uuid:dd60f805-7544-498d-a3c3-a57db313b9af|politician|jurist
urn:uuid:0116f6ff-22b3-491a-8513-b00c2b20a0dd|politician|jurist
urn:uuid:a1b56b0c-5bb6-470f-97a8-1fdb04ada84b|politician|jurist
urn:uuid:83b723ee-553d-4fcc-b9b5-1c9d1af40d32|politician|jurist
urn:uuid:c8e06c61-1e37-4f01-af18-7ad2afc9b9fa|politician|jurist
urn:uuid:d71ade81-891b-4607-9292-17a095dbff1c|politician|jurist
urn:uuid:5b9bcae9-6129-4aea-b9b3-f8e7411ed5bb|politician|economist
urn:uuid:5518a5c5-2a1a-49d1-a9bd-ef21c3f0b128|politician|jurist
urn:uuid:d48978cf-61bf-49cf-8ad5-416faadf5d22|politician|jurist
urn:uuid:bf908967-5fca-4d55-908b-89a10cb5dbb6|politician|jurist
urn:uuid:8fee91c7-66a0-4087-93a6-f563b42a7d1c|politician|jurist
urn:uuid:e971b56e-f41f-4628-a1fc-ed092ea135b4|politician|jurist
urn:uuid:3e040b22-072e-4341-b82b-7ce291c39d28|politician|jurist
urn:uuid:cec0fce6-5ef2-4123-9b1d-7cb778577eac|politician|jurist
urn:uuid:1597b587-dc77-465e-a625-894b340b5881|politician|jurist
urn:uuid:08371783-49b7-48ad-ae7f-d8366ab0111e|politician|economist
urn:uuid:c98cbbb3-79db-4022-b2e4-5db19cf56ecf|politician|jurist
urn:uuid:6beafa14-a3c1-4deb-abca-797a41ba0546|politician|jurist/economist
urn:uuid:43a9a7bf-3877-4439-95c3-6f8dbf4f4a52|politician|jurist
urn:uuid:b79ba59c-18b3-48a7-87d8-ed3ea64c86c0|politician|jurist
urn:uuid:e5c188cd-7b06-4464-8fe3-43c55cea4c94|politician|jurist
urn:uuid:f214b9e2-b5d1-40d2-9404-aaeb085aa07f|politician|jurist
urn:uuid:89254ca9-021c-4f03-8389-c2651b0992e3|politician|jurist
urn:uuid:73f3ef96-1dcc-4f62-b8d3-ddd433e29725|politician|jurist
urn:uuid:87af24f8-4a1b-4f52-942c-e38d629ef1b8|politician|jurist
urn:uuid:55e0ec0a-7bc9-41ee-a673-72302a4512af|politician|jurist
urn:uuid:535bca0d-ce9d-4567-a206-eb0adace016f|politician|jurist
urn:uuid:55321ad3-5f43-4f30-a083-7b4f613b4b26|politician|jurist
urn:uuid:67cf6076-ce2c-4dea-a47d-66457ab4fd24|politician|jurist
urn:uuid:687c33e3-adf1-4a3d-adf6-50776e035088|politician|jurist
urn:uuid:0c15720b-5fb4-457b-8272-64daa54e04e9|politician|jurist
urn:uuid:fb35e1b5-ac39-4a0b-a7fa-62f02e009bec|politician|economist
urn:uuid:417646ff-f254-445c-b811-c4c692e15632|politician|economist
urn:uuid:472a0cfa-3938-404f-a4bc-630664c93a4e|politician|jurist
urn:uuid:478ba257-fb24-48a3-8bcf-15a32b249faf|politician|jurist
urn:uuid:09f4aa55-cb7b-41b9-90c4-2a4e0da45d6e|politician|jurist
urn:uuid:89e9014d-d1d9-4d8e-aff6-171bffd07abe|politician|jurist
urn:uuid:a5a04e41-c40c-4b0c-b854-12f12f4f4c6e|politician|jurist
urn:uuid:1caee0ad-3d2a-4751-8ba5-be321a4c3063|politician|jurist
urn:uuid:d64b0bf1-da04-4126-8739-6d5f72b2b788|politician|jurist
urn:uuid:1aba9d76-8281-47c9-a0f9-b3cdfa20e526|politician|jurist
urn:uuid:4a926d3b-01f4-480b-94b6-669a1d712c19|politician|jurist
urn:uuid:b54e2d49-57af-465b-8c71-1d2286f9db27|politician|jurist
urn:uuid:4323e0aa-7ded-495c-a8ba-504f24313687|politician|jurist
urn:uuid:34d1307d-d965-432b-ae22-72ba2afee26f|politician|jurist
urn:uuid:729c1f0c-4d40-427e-b8af-879f8e973ee4|politician|jurist
urn:uuid:73aa40c0-2760-422a-936f-118a2806b12e|politician|economist
urn:uuid:da674167-cb4d-4e84-bec0-c6748e73129c|politician|jurist
urn:uuid:88748ebe-97ba-4aed-896c-9a15cf3b394f|politician|jurist
urn:uuid:9e6202d6-2507-48a8-82dd-b7b63fca317c|politician|jurist
urn:uuid:3297556f-d2de-4c6e-a5ed-0b338e5f4042|politician|jurist
urn:uuid:a6ed9d84-01eb-4dbd-9d10-0cf5c28996ac|politician|economist
urn:uuid:31e512ae-12ac-4662-86f8-2a6be456a580|politician|jurist
urn:uuid:7ad6c5cf-7f85-419f-94e5-99afaab92e3b|politician|economist
urn:uuid:987bf1b3-b950-42ae-b94d-459885073cc1|politician|jurist
urn:uuid:913a23d6-663b-4e20-93cc-aecc845d0c89|politician|jurist
urn:uuid:9e932a04-7bca-49a6-b63c-af7e4dea8b47|politician|jurist
urn:uuid:3ca678b7-8b7f-4eb9-90d5-bea67ccd943d|politician|jurist
urn:uuid:7b3e391a-9972-4b12-805f-ee8c233546b7|politician|jurist
urn:uuid:ca93800f-1812-478b-890f-d15115a5e19f|politician|economist
urn:uuid:96f9b43a-0841-4297-b301-9d2c8ff5c9c4|politician|jurist
urn:uuid:f3b3e535-c934-4e3d-b635-62848083bd6b|politician|jurist
urn:uuid:46ae0afa-fadc-4f1e-b8ab-ce9ed96f41e3|politician|jurist
urn:uuid:74167556-d66b-40d9-91ac-a6bbe2e4b49c|politician|jurist
urn:uuid:b033371e-8960-41a7-8759-4955ecafb12b|politician|jurist
urn:uuid:794c40f4-f806-44f6-bf95-5f15672c4c85|politician|jurist
urn:uuid:ccd15e85-d27e-4639-a123-ae6614b9ff1e|politician|jurist
urn:uuid:18cef6c3-359a-45da-8ccf-6934afd99ec4|politician|jurist
urn:uuid:3b65212b-653e-4318-9cc8-1a8b4f8c1cb3|politician|jurist
urn:uuid:208acc0f-93b9-470a-b5ab-90bb263a1041|politician|jurist
urn:uuid:5b51d219-0486-4866-8432-96112c35516b|politician|jurist
urn:uuid:7c8aa6dd-7a76-4176-b940-f3594cb8b583|politician|economist
urn:uuid:44d48f2e-e25c-436d-adeb-e09b24b389a2|politician|jurist
urn:uuid:3041d97f-77d1-4d50-b394-83b81ceb454e|politician|jurist
urn:uuid:bb99588b-a4df-403a-b300-82beeec6756f|politician|jurist
urn:uuid:92c1aeef-42dd-4770-87ea-9840c9e0da33|politician|jurist
urn:uuid:a070fe5c-682d-46bd-9019-06c82c84e8a8|politician|jurist
urn:uuid:5540c62c-7960-44cd-bce1-7a1ef8ceb7de|politician|jurist
urn:uuid:f3ab652e-e4bb-44b6-84a6-7d1116f226bc|politician|economist
urn:uuid:b5aa89eb-0499-4706-bc7a-10fb8399c783|politician|jurist
urn:uuid:9aae0769-a003-453d-9b6b-fc97cd7b0ae3|politician|jurist
urn:uuid:07e49e74-7e93-4715-afcb-50281a108e5f|politician|jurist
urn:uuid:6c7f56c0-6833-4ec6-9d00-68cb133df54a|politician|jurist
urn:uuid:a0a8126b-ac38-4092-ba46-2555b0da1de5|politician|jurist
urn:uuid:3cb0226e-75fc-4e57-b9d0-fa41a256741a|politician|jurist
urn:uuid:5a44d4c8-03c9-4294-9fdf-f2f80ad3c6a1|politician|jurist
urn:uuid:b4c6ad6e-c9aa-4eb3-b5d0-90b4fb1548d3|politician|jurist
urn:uuid:f412e543-87a2-422c-a457-3c36305401b1|politician|jurist
urn:uuid:ec071980-7b99-493b-bcea-8ab6d07e8f10|politician|jurist
urn:uuid:7cfe69ce-8c6f-4f54-99c5-15864aca71fd|politician|jurist
urn:uuid:8d3e8983-c0e6-4cdc-9193-68417d4eaae9|politician|economist
urn:uuid:ce948f04-8452-4700-aae7-30e3c97c0439|politician|jurist
urn:uuid:4bfbfd1b-825d-4369-8543-bf34ad984607|politician|jurist
urn:uuid:d2db9ba7-d55b-4a3c-beda-ac6762e27c4b|politician|jurist
urn:uuid:452117fd-947b-40f4-9c89-49944a9af3a6|politician|jurist
urn:uuid:a11bd176-a5f9-4e11-a299-1b6420634163|politician|economist
urn:uuid:7a8aa252-5a20-4720-abc4-12bc05426bb4|politician|economist
urn:uuid:4fcdc902-119b-43e2-8feb-4cbc84480910|politician|jurist
urn:uuid:4dff3617-fb47-4a0d-8829-e7de3c39f51d|politician|jurist
urn:uuid:0761def4-375a-43ec-b4c3-ce259c6300e8|politician|jurist
urn:uuid:730beaff-d569-4c45-aca5-a2ca28a5bd50|politician|jurist
urn:uuid:1490acb9-5eab-48e3-a472-5c53cdd0a4a6|politician|jurist
urn:uuid:ae784eaf-9667-4266-a803-98b3811a7060|politician|jurist
urn:uuid:11b9e858-1901-4575-9d13-cb9ccdb901fe|politician|economist
urn:uuid:6bab8fb4-90a7-4321-9854-59016cdcafc1|politician|jurist
urn:uuid:4a1050b5-0c28-497a-9a92-032051ee41b5|politician|jurist
urn:uuid:e7eca045-e2cd-47cd-82c8-a7775eae3690|politician|jurist
urn:uuid:96b43c53-2db7-4378-8bf3-adc80600bf6c|politician|economist
urn:uuid:fe1ec604-d0c8-4c17-926e-e6ab7ee41c09|politician|jurist
urn:uuid:17f93bba-c6b3-4b75-8ca1-3e82f4961b7b|politician|economist
urn:uuid:4495b7ee-3a17-46c3-9ead-f6cd4577d3f3|politician|jurist
urn:uuid:a5a3f829-65b0-4ce6-8808-5fec64ce64a1|politician|economist
urn:uuid:14e59ea5-47bb-4dc6-9884-4e0632b7b0e9|politician|jurist
urn:uuid:8d1d0758-51d6-429e-bab3-1ccaae1d2070|politician|economist
urn:uuid:090b94b4-dba2-49bf-a4d4-9879af4d398d|politician|jurist
urn:uuid:65a587f6-16ca-439f-8ea9-a14126c3afd1|politician|jurist
urn:uuid:dd0e584c-f5a6-4067-adb4-22aaf2245943|politician|jurist
urn:uuid:0e79dd62-3931-4e6f-9442-0800f926a4b3|politician|jurist
urn:uuid:53d5601c-b840-44de-83cc-55f04171b9c6|politician|economist
urn:uuid:0e142e01-696e-418f-9c6e-aadb653809e6|politician|economist
urn:uuid:61d02c5d-13fe-4c0e-adc2-58bc8d1ae600|politician|jurist
urn:uuid:3639890c-b37e-4fa9-8087-b39d17fc57dd|politician|jurist
urn:uuid:609a52cf-d1e3-4fff-874f-0710755cdc2f|politician|jurist
urn:uuid:f6fd708f-aacd-4e71-a33f-97ea9ccf2dd9|politician|jurist
urn:uuid:4eca3508-c98e-452c-9397-ea489da7b9c5|politician|jurist
urn:uuid:ef0f7c93-c94c-47c5-a3ce-5b7ff7f2359d|politician|jurist
urn:uuid:2313316c-f606-48a6-b05d-a54f7f8e57b0|politician|jurist
urn:uuid:e4806d97-6595-4da1-89a0-13845a9e205f|politician|economist
urn:uuid:52d2e1e7-7299-4388-a405-6fe706346358|politician|jurist
urn:uuid:23f2c530-9864-47b6-a52b-1b4c3d721f7a|politician|jurist
urn:uuid:7c09de97-438a-497f-8731-9ee4f153e5d0|politician|jurist
urn:uuid:4be4d2bc-fa1f-40f9-83b1-4e833795350b|politician|jurist
urn:uuid:0d6328e1-5cc4-4d19-868d-1c195955e0ce|politician|jurist
urn:uuid:80be6570-38c9-4615-9ef0-58ecd81cf4f0|politician|jurist
urn:uuid:1df876c9-e2c7-41a8-a17a-8e7111cf28d2|politician|jurist
urn:uuid:52945548-73f8-4378-8518-359155f2c929|politician|jurist
urn:uuid:f9a1fa7a-7de4-45b4-9c12-1a9fb41cc555|politician|jurist
urn:uuid:1e7b8b35-feed-41d5-a5da-0fdbc53f40c8|politician|jurist
urn:uuid:5299c966-8f74-47a0-948e-e3d6f5da00c7|politician|jurist
urn:uuid:f88e2bf4-3483-493e-b2e9-978fe619a839|politician|jurist
urn:uuid:51b455d1-6181-43a5-9dd1-0d4121d73fd4|politician|jurist
urn:uuid:7bed52fa-d0f2-40c3-b8a4-125c2116ab9e|politician|jurist
urn:uuid:3e5a7f5a-5882-482d-bae3-928f8d06dbea|politician|jurist
urn:uuid:0d26770e-b490-4254-b4d6-8cd02fecb56b|politician|jurist
urn:uuid:cfb5ca3d-9980-4b98-bf3e-ea105d9eff61|politician|economist
urn:uuid:6e6dbb7f-3996-46bd-a8f0-4766d87b7ce8|politician|jurist
urn:uuid:12f83334-4396-4466-9d35-2c043f9545bf|politician|jurist
urn:uuid:1fe13ed2-266d-41b3-af16-417e5955e84e|politician|economist
urn:uuid:4bddd239-bf68-44cf-8269-b1d4456784a2|politician|economist
urn:uuid:e39c1cfb-658f-47e8-b6b1-49cf12b9b609|politician|jurist
urn:uuid:50833168-bf17-40d4-b8ec-f0f6d1b26108|politician|jurist
urn:uuid:aa7351fc-6028-495c-860c-172de0a0b0b2|politician|jurist
urn:uuid:883ddcfb-b733-4073-9d4b-46561b6a0dd7|politician|economist
urn:uuid:175ec405-b61c-47f8-b1f4-0d26720565c7|politician|jurist
urn:uuid:b6af9d42-18d9-4ea4-910f-5e411c59f714|politician|jurist
urn:uuid:abb13895-6264-44cc-b149-f601f6e0af2d|politician|jurist
urn:uuid:4209d9f0-5d63-4115-a479-93257234230a|politician|jurist
urn:uuid:1b00d3f2-c015-486a-9e4e-218128478b16|politician|economist
urn:uuid:b027fd1d-1ee1-4570-b633-99eaea8b07c4|politician|jurist
urn:uuid:addefa25-0efd-4275-aec3-e28bdbad4b78|politician|jurist
urn:uuid:c680c9c0-e274-49f7-81ac-b6c7ad06be23|politician|economist
urn:uuid:15db0da0-99a1-45e0-9151-20b6aabc898f|politician|economist
urn:uuid:3c26299a-41f8-45df-9da6-31b298368c84|politician|jurist
urn:uuid:59e2b752-b5c0-4d4b-beb3-35f2c27590c4|politician|economist
urn:uuid:3c711a09-f6cd-4379-9e84-c8cfdc6271f6|politician|economist
urn:uuid:586eab77-8552-4d9e-b2f9-59270f636912|politician|jurist
urn:uuid:58420b0b-cceb-4032-88b5-1ac7d1d3ae3e|politician|jurist
urn:uuid:603db7ff-ae00-4e87-8d7b-f47a22a0a700|politician|jurist
urn:uuid:b15a148c-42b3-4cec-aa2b-a9308262f2a6|politician|economist
urn:uuid:e2025b87-a68e-47f4-ba47-2fdf2f7cce92|politician|economist
urn:uuid:54729ce6-b100-44de-8f9f-e206e1c553e2|politician|jurist
urn:uuid:b2af3bdf-d335-4aff-937d-bd2da5043f2d|politician|economist
urn:uuid:d8d47f68-5a89-44cc-885f-baada8fdfd08|politician|jurist
urn:uuid:82b18c93-9459-4a6f-abf6-ed45bdd131d8|politician|economist
urn:uuid:eb2b8c9a-30a3-48a1-81ff-8ecb5cf70611|politician|jurist
urn:uuid:856c83ba-4d7b-4f33-b152-e50a0a07a77f|politician|jurist
urn:uuid:d47fad3a-b4f7-4cb2-98e4-8fcb00f9e26c|politician|jurist
urn:uuid:2eea8e6e-c4ea-42bb-a4cf-f6036780b6e5|politician|jurist
urn:uuid:4bd24c9a-0677-40f7-87a9-c0cc3a7327ea|politician|jurist
urn:uuid:3cc3d5c9-9c5f-4ad4-bcb3-f4afbd7f13b4|politician|jurist
urn:uuid:da5c91c5-3e9f-4cb2-8b44-6efbb278d08f|politician|jurist
urn:uuid:308aeaa6-fd64-4c26-b80c-1f7e80fcd71e|politician|jurist
urn:uuid:b6b8a082-7834-4a13-8620-acc5ef93da01|politician|economist
urn:uuid:a62dcc7f-b040-4216-be6e-dc3ec6e3439c|politician|jurist
urn:uuid:3cfcf715-7cdd-4f5d-b252-4942f960c3d1|politician|jurist
urn:uuid:77f7c171-6ad5-4152-bcfd-885c3c324bfb|politician|jurist
urn:uuid:db329319-8f08-46e3-bc6b-4f0a91016d6f|politician|jurist
urn:uuid:8a126c54-45c0-4d8d-8d99-947527751d1c|politician|jurist
urn:uuid:a5fab628-a0b4-48f0-9653-d07f8c85e627|politician|jurist
urn:uuid:bf85b9ed-0e02-4cd0-8b54-13980d62b8e6|politician|jurist
urn:uuid:63d81805-8dc5-4d5d-bd9a-c189cf3729c6|politician|jurist
urn:uuid:65fe1891-fe63-4c70-b8e9-62fcf5c042d1|politician|jurist
urn:uuid:cb1b5b6e-c79e-4ae6-a030-5a480e5d3c85|politician|jurist
urn:uuid:ebf0a635-e347-460d-a316-bf70d19ec2f8|politician|jurist
urn:uuid:c20d3594-21cc-44f2-9e9c-4bd080a3d986|politician|jurist
urn:uuid:52165900-4959-45b8-b054-da5b4962b9a4|politician|jurist
urn:uuid:63cb8fbf-69b9-4239-b0b3-c4c23da29336|politician|jurist
urn:uuid:409c4c54-32e7-4885-9ab4-ca9fe6e2ea3d|politician|jurist
urn:uuid:7e41199c-ff70-411a-89ff-33b2233a793b|politician|jurist
urn:uuid:cc483df3-78a4-4d80-aa73-391bbf536ef6|politician|jurist
urn:uuid:776676f0-a360-4e23-b911-5049442ab314|politician|jurist
urn:uuid:ca0c817b-5dc9-4736-86c2-d7df7926f802|politician|jurist
urn:uuid:13147627-27d4-4272-8101-ab05de049da1|politician|jurist
urn:uuid:6efc2f17-20f9-406a-ab29-9096749e2bdd|politician|jurist
urn:uuid:69f4d470-512c-436a-a840-38e7c91fbab3|politician|jurist
urn:uuid:dcdf06e9-dd41-4166-b511-ecc8ca13cbb2|politician|jurist
urn:uuid:aab6b1eb-5a0a-4b71-b24b-1a4954daf757|politician|jurist
urn:uuid:12cd0f1d-86d3-484b-b8bb-21fe9f86e50e|politician|jurist
urn:uuid:b026fc80-4d30-405e-a18c-2f60990b56d3|politician|jurist
urn:uuid:2a0d51f6-8d72-4b97-9c29-f7af6c8ac376|politician|jurist
urn:uuid:4485472b-8464-4e29-a263-ba05a344c1b2|politician|jurist
urn:uuid:5fe58661-ff83-41d5-b524-8beae9051142|politician|jurist
urn:uuid:ce77eb19-bc93-42e3-a832-b1268611ca76|politician|jurist
urn:uuid:241821b0-5f54-4a85-92e4-408d15afe683|politician|jurist
urn:uuid:29227839-66df-4763-948f-d57c2fb0ac79|politician|jurist
urn:uuid:84872777-5985-4b78-88e8-01b928aeb88b|politician|jurist
urn:uuid:cda6cd46-9836-4c47-bced-38350d6e8f87|politician|jurist
urn:uuid:799e3a36-86e2-4fef-8d2d-0dc807cacccb|politician|jurist
urn:uuid:695431a4-d233-4d71-91b6-2cf825999eed|politician|jurist
urn:uuid:2038376b-fbf1-4487-a8a3-02403f3529f7|politician|jurist
urn:uuid:b7d4e4a1-11e2-4897-b288-2a5444283771|politician|jurist
