|id_entity|type|gender|occupation|generation|region
94|urn:uuid:712ac929-fc8c-413c-ba50-859d3f9b3a41|jurist|male|scientist|1891-1911|Central Europe
95|urn:uuid:712ac929-fc8c-413c-ba50-859d3f9b3a41|jurist|male|scientist|1891-1911|Southeastern Europe
100|urn:uuid:89370042-3a2c-450a-a24d-a46b95229e3a|jurist|male|politician|1851-1871|Southern Europe
101|urn:uuid:89370042-3a2c-450a-a24d-a46b95229e3a|jurist|male|writer|1851-1871|Southern Europe
104|urn:uuid:893b5aaf-31b7-4843-b8f9-290945c24f10|jurist|male|politician|1851-1871|Central Europe
105|urn:uuid:893b5aaf-31b7-4843-b8f9-290945c24f10|jurist|male|teacher|1851-1871|Central Europe
108|urn:uuid:16534179-e469-4e79-9b1c-0bce70cef2ff|economist|male|scientist|1911-1931|Central Europe
112|urn:uuid:894c21da-d398-4fd5-917a-8778e152c594|jurist/economist|male|scientist|1891-1911|Central Europe
118|urn:uuid:91f7eadf-8667-4df0-a656-6b2161e8c304|economist|male|scientist|1871-1891|Eastern Europe
120|urn:uuid:a4e84b87-b852-43a0-aca5-a94dd506792c|economist|male|politician|1771-1791|Central Europe
121|urn:uuid:a4e84b87-b852-43a0-aca5-a94dd506792c|economist|male|media person|1771-1791|Central Europe
122|urn:uuid:a4e84b87-b852-43a0-aca5-a94dd506792c|economist|male|businessperson|1771-1791|Central Europe
123|urn:uuid:a4e84b87-b852-43a0-aca5-a94dd506792c|economist|male|scientist|1771-1791|Central Europe
128|urn:uuid:1f446727-57b6-471e-8f59-26414f643f91|economist|male|politician|1911-1931|Central Europe
129|urn:uuid:1f446727-57b6-471e-8f59-26414f643f91|economist|male|media person|1911-1931|Central Europe
130|urn:uuid:1f446727-57b6-471e-8f59-26414f643f91|economist|male|activist|1911-1931|Central Europe
131|urn:uuid:1f446727-57b6-471e-8f59-26414f643f91|economist|male|teacher|1911-1931|Central Europe
136|urn:uuid:e7166e56-778f-4b56-b1c1-e36aadea6bf3|economist|male|scientist|1891-1911|Central Europe
137|urn:uuid:e7166e56-778f-4b56-b1c1-e36aadea6bf3|economist|male|writer|1891-1911|Central Europe
142|urn:uuid:55016027-7cbc-4063-ad54-4c60733d1995|economist|male|media person|1911-1931|Eastern Europe
143|urn:uuid:55016027-7cbc-4063-ad54-4c60733d1995|economist|male|writer|1911-1931|Eastern Europe
148|urn:uuid:9b81384f-c1c1-4bad-aa54-0b1859c745cb|jurist|male|politician|1891-1911|Central Europe
149|urn:uuid:9b81384f-c1c1-4bad-aa54-0b1859c745cb|jurist|male|scientist|1891-1911|Central Europe
150|urn:uuid:9b81384f-c1c1-4bad-aa54-0b1859c745cb|jurist|male|teacher|1891-1911|Central Europe
151|urn:uuid:9b81384f-c1c1-4bad-aa54-0b1859c745cb|jurist|male|writer|1891-1911|Central Europe
158|urn:uuid:2482dd31-7c8f-457f-9fe0-dc56ccae5d16|jurist|male|politician|1851-1871|British Isles
160|urn:uuid:7e67bd70-7ec3-484f-86ff-1ce472fd7548|jurist|male|politician|1871-1891|British Isles
161|urn:uuid:7e67bd70-7ec3-484f-86ff-1ce472fd7548|jurist|male|teacher|1871-1891|British Isles
164|urn:uuid:c4ecb38c-ca44-48b2-a31b-b4b0f6a30d4b|jurist|male|scientist|1891-1911|Central Europe
166|urn:uuid:0e1ee35e-6b37-4f4b-b7de-5aa54a88a51e|economist|male|scientist|1891-1911|Eastern Europe
168|urn:uuid:7c4fa8c7-087e-44ea-864e-c39bb9f75276|jurist|male|scientist|1851-1871|British Isles
169|urn:uuid:7c4fa8c7-087e-44ea-864e-c39bb9f75276|jurist|male|writer|1851-1871|British Isles
172|urn:uuid:7243a603-a2d4-496f-ac9d-a73668007741|economist|male|scientist|1931-1951|British Isles
174|urn:uuid:4fa8b88d-8135-4b11-98de-254b4bb2b6ba|economist|male|scientist|1911-1931|Southern Europe
176|urn:uuid:61ef9e53-6cdc-49ae-b732-e70c2656b773|jurist|male|writer|1911-1931|Central Europe
177|urn:uuid:61ef9e53-6cdc-49ae-b732-e70c2656b773|jurist|male|teacher|1911-1931|Central Europe
180|urn:uuid:559955fa-5a3e-4fa9-ae22-5b0cad63c0e4|jurist|male|politician|1871-1891|Central Europe
182|urn:uuid:e31c4bb9-6e25-4bf8-825b-ee41fa84bace|jurist|male|politician|1791-1811|Western Europe
183|urn:uuid:e31c4bb9-6e25-4bf8-825b-ee41fa84bace|jurist|male|media person|1791-1811|Western Europe
184|urn:uuid:e31c4bb9-6e25-4bf8-825b-ee41fa84bace|jurist|male|writer|1791-1811|Western Europe
185|urn:uuid:e31c4bb9-6e25-4bf8-825b-ee41fa84bace|jurist|male|scientist|1791-1811|Western Europe
190|urn:uuid:edeb99a6-4241-45e5-820a-b5d51b2256af|jurist|male|politician|1791-1811|Central Europe
191|urn:uuid:edeb99a6-4241-45e5-820a-b5d51b2256af|jurist|male|media person|1791-1811|Central Europe
192|urn:uuid:edeb99a6-4241-45e5-820a-b5d51b2256af|jurist|male|writer|1791-1811|Central Europe
196|urn:uuid:6a9ac679-f0ff-4f68-983e-f30c343bc913|jurist|male|politician|1831-1851|Central Europe
198|urn:uuid:31060446-541d-417f-a3a7-f5abe25b6620|jurist|male|athlete|1931-1951|British Isles
200|urn:uuid:0375ce5b-65b9-4929-a23a-6244b1ee504e|jurist|male|scientist|1911-1931|Central Europe
202|urn:uuid:322a62ba-c581-4a22-96fd-af6b4d3e6cc0|economist|male|scientist|1891-1911|Central Europe
203|urn:uuid:322a62ba-c581-4a22-96fd-af6b4d3e6cc0|economist|male|other|1891-1911|Central Europe
206|urn:uuid:8f96e731-c451-4862-a9de-c0f463fd1555|jurist|male|politician|1811-1831|Central Europe
208|urn:uuid:a6f6d0c0-9a6a-420e-b708-5f6d8065bf17|economist|male|politician|1911-1931|Southeastern Europe
209|urn:uuid:a6f6d0c0-9a6a-420e-b708-5f6d8065bf17|economist|male|scientist|1911-1931|Southeastern Europe
212|urn:uuid:e5eb9d05-86fd-4b4c-ba01-a073422e5e56|jurist|male|scientist|1891-1911|Central Europe
214|urn:uuid:b7372dba-e284-44ab-b838-16263c8e23b9|jurist|male|politician|1871-1891|Central Europe
215|urn:uuid:b7372dba-e284-44ab-b838-16263c8e23b9|jurist|male|politician|1871-1891|Southeastern Europe
218|urn:uuid:581932a6-119d-4b74-b802-c8ffbafe8f61|jurist|male|politician|1831-1851|British Isles
219|urn:uuid:581932a6-119d-4b74-b802-c8ffbafe8f61|jurist|male|teacher|1831-1851|British Isles
222|urn:uuid:f05d3021-439b-4512-9a8f-58abc5942e23|jurist|male|other|1911-1931|Central Europe
223|urn:uuid:f05d3021-439b-4512-9a8f-58abc5942e23|jurist|male|other|1911-1931|Eastern Europe
226|urn:uuid:57fa58bc-316d-4435-8d96-a28ee509aae0|economist|male|scientist|1911-1931|Central Europe
228|urn:uuid:d354cdd1-8d5e-4082-8be3-4da1e5c212c3|economist|male|writer|1931-1951|Southeastern Europe
229|urn:uuid:d354cdd1-8d5e-4082-8be3-4da1e5c212c3|economist|male|scientist|1931-1951|Southeastern Europe
232|urn:uuid:fc95b155-e1a5-4067-842a-870d97ddb486|economist|female|writer|1931-1951|Western Europe
233|urn:uuid:fc95b155-e1a5-4067-842a-870d97ddb486|economist|female|scientist|1931-1951|Western Europe
238|urn:uuid:bb7c9bf6-48ec-4b1e-8430-b46770b177ce|economist|male|scientist|1911-1931|Central Europe
240|urn:uuid:3b4d4942-1d8e-4162-beed-252664f06374|jurist|female|other|1931-1951|Western Europe
243|urn:uuid:68f3e1d0-dfd1-4a29-9159-03da583a0854|jurist|male|politician|1911-1931|Western Europe
245|urn:uuid:d6b013a8-b0a2-482b-ac2f-56791dbbb491|jurist|male|politician|1811-1831|Western Europe
247|urn:uuid:12cb678f-21e2-4262-b59f-02424410acf7|jurist|male|scientist|1931-1951|British Isles
249|urn:uuid:dffd9736-875c-4a67-a271-80607f9de6d3|jurist|male|politician|1831-1851|British Isles
250|urn:uuid:dffd9736-875c-4a67-a271-80607f9de6d3|jurist|male|businessperson|1831-1851|British Isles
251|urn:uuid:dffd9736-875c-4a67-a271-80607f9de6d3|jurist|male|writer|1831-1851|British Isles
255|urn:uuid:c0de8a77-d03e-4a23-bb7d-abe89663c2f3|economist|male|scientist|1931-1951|Central Europe
257|urn:uuid:d08bc6ad-08a3-4561-b6b1-ed10272733ad|economist|male|politician|1871-1891|Eastern Europe
258|urn:uuid:d08bc6ad-08a3-4561-b6b1-ed10272733ad|economist|male|other|1871-1891|Eastern Europe
261|urn:uuid:4efe147b-258b-4b82-9108-de7c42f7e90c|jurist|male|politician|1871-1891|Southeastern Europe
263|urn:uuid:a27e867f-5c7e-474b-aabc-7ca42dc1ee43|jurist|male|writer|1871-1891|Eastern Europe
264|urn:uuid:a27e867f-5c7e-474b-aabc-7ca42dc1ee43|jurist|male|other|1871-1891|Eastern Europe
267|urn:uuid:78c5b315-da7e-4361-b5e0-cd0a815c1020|economist|male|scientist|1851-1871|Eastern Europe
269|urn:uuid:f173c939-34a0-4fc5-8eb9-81d635cf192c|economist|male|other|1871-1891|Central Europe
270|urn:uuid:f173c939-34a0-4fc5-8eb9-81d635cf192c|economist|male|other|1871-1891|Eastern Europe
273|urn:uuid:773a4bba-15bc-46b7-a902-6661a836b390|economist|male|media person|1911-1931|Eastern Europe
274|urn:uuid:773a4bba-15bc-46b7-a902-6661a836b390|economist|male|activist|1911-1931|Eastern Europe
277|urn:uuid:e31c5d79-e68d-4e07-bb4a-e8361b57eaf3|economist|female|scientist|1911-1931|British Isles
279|urn:uuid:9fc53b74-abe2-4250-a009-83c47805047f|economist|male|scientist|1931-1951|Scandinavia
283|urn:uuid:8f23c59a-bd10-48a1-9f79-6687680e3fd4|jurist/economist|male|politician|1891-1911|Eastern Europe
284|urn:uuid:8f23c59a-bd10-48a1-9f79-6687680e3fd4|jurist/economist|male|politician|1891-1911|Southeastern Europe
287|urn:uuid:a3daa746-a3a7-454e-a044-1baed9a1c9c3|jurist|female|businessperson|1931-1951|British Isles
289|urn:uuid:072db1cd-daa1-4902-b72b-b1b8f6531143|economist|male|scientist|1851-1871|Eastern Europe
290|urn:uuid:072db1cd-daa1-4902-b72b-b1b8f6531143|economist|male|media person|1851-1871|Eastern Europe
295|urn:uuid:e22efd4a-d42b-49d3-9fb4-ea834d012126|economist|male|scientist|1891-1911|British Isles
297|urn:uuid:e22efd4a-d42b-49d3-9fb4-ea834d012126|economist|male|writer|1891-1911|British Isles
301|urn:uuid:1d9078de-9dec-4eb0-82fc-b724bdd558e3|jurist|female|scientist|1891-1911|Central Europe
303|urn:uuid:47f1975d-7acd-4366-9962-ce7be58870cf|jurist|male|politician|1871-1891|British Isles
304|urn:uuid:47f1975d-7acd-4366-9962-ce7be58870cf|jurist|male|media person|1871-1891|British Isles
305|urn:uuid:47f1975d-7acd-4366-9962-ce7be58870cf|jurist|male|other|1871-1891|British Isles
309|urn:uuid:ddb6cae4-6c9a-4531-96fc-292ccc35cbdf|economist|male|scientist|1931-1951|Southeastern Europe
311|urn:uuid:d22e4902-7dc3-41ab-8db4-ccf47b815d40|economist|male|businessperson|1891-1911|Southeastern Europe
312|urn:uuid:d22e4902-7dc3-41ab-8db4-ccf47b815d40|economist|male|other|1891-1911|Southeastern Europe
313|urn:uuid:d22e4902-7dc3-41ab-8db4-ccf47b815d40|economist|male|scientist|1891-1911|Southeastern Europe
317|urn:uuid:4b326c26-929c-41a6-a8d0-62b778b657cd|jurist|female|politician|1891-1911|Eastern Europe
319|urn:uuid:d82d163e-529c-49c6-a544-32f61adae727|economist|male|scientist|1911-1931|Eastern Europe
323|urn:uuid:4564f287-2ca5-4a64-948b-947863deb5ae|jurist|male|other_occupation|1891-1911|Central Europe
324|urn:uuid:4564f287-2ca5-4a64-948b-947863deb5ae|jurist|male|other_occupation|1891-1911|Eastern Europe
327|urn:uuid:29b56827-7fc6-4e17-99a9-4bf3071fb936|jurist|male|media person|1931-1951|Central Europe
329|urn:uuid:37d3842f-2e0d-4846-9394-3f16a722564a|jurist|male|politician|1831-1851|Central Europe
330|urn:uuid:37d3842f-2e0d-4846-9394-3f16a722564a|jurist|male|scientist|1831-1851|Central Europe
333|urn:uuid:c2007696-97eb-486a-80cf-d273f5aceafa|jurist|male|businessperson|1851-1871|Central Europe
335|urn:uuid:d4fde0c9-d1da-4340-8bb4-442243bdc983|jurist|male|politician|1871-1891|Central Europe
336|urn:uuid:d4fde0c9-d1da-4340-8bb4-442243bdc983|jurist|male|media person|1871-1891|Central Europe
339|urn:uuid:c147c17c-ca7b-4db4-9b32-b2871d434d6a|economist|male|scientist|1911-1931|British Isles
341|urn:uuid:c147c17c-ca7b-4db4-9b32-b2871d434d6a|economist|male|other|1911-1931|British Isles
345|urn:uuid:7596a7da-4e92-4b8a-a89e-d9072d5ae687|economist|male|politician|1911-1931|British Isles
347|urn:uuid:6b4f5c9b-f33d-4321-8054-e1d55241e6b9|jurist|male|scientist|1911-1931|Southern Europe
349|urn:uuid:8ad6d370-59c4-4f51-83fa-4399fe179a0e|jurist|male|writer|1871-1891|Central Europe
350|urn:uuid:8ad6d370-59c4-4f51-83fa-4399fe179a0e|jurist|male|other|1871-1891|Central Europe
353|urn:uuid:3923bd88-27a0-4a80-880a-833d22fb1884|jurist|female|politician|1931-1951|Central Europe
355|urn:uuid:d86d645a-07cc-4ba7-8372-50c41b57d002|jurist|male|politician|1891-1911|Central Europe
356|urn:uuid:d86d645a-07cc-4ba7-8372-50c41b57d002|jurist|male|politician|1891-1911|Southeastern Europe
357|urn:uuid:d86d645a-07cc-4ba7-8372-50c41b57d002|jurist|male|other|1891-1911|Central Europe
358|urn:uuid:d86d645a-07cc-4ba7-8372-50c41b57d002|jurist|male|other|1891-1911|Southeastern Europe
363|urn:uuid:5da5f954-04a2-4dc3-8a1f-d112158a1bcd|economist|male|media person|1931-1951|Central Europe
364|urn:uuid:5da5f954-04a2-4dc3-8a1f-d112158a1bcd|economist|male|scientist|1931-1951|Central Europe
367|urn:uuid:e9c49733-af09-4713-9967-ed2459a061e3|jurist|male|politician|1871-1891|Eastern Europe
368|urn:uuid:e9c49733-af09-4713-9967-ed2459a061e3|jurist|male|media person|1871-1891|Eastern Europe
369|urn:uuid:e9c49733-af09-4713-9967-ed2459a061e3|jurist|male|writer|1871-1891|Eastern Europe
375|urn:uuid:016f8aee-74e2-416e-8c17-662d44645d70|jurist|male|politician|1871-1891|Western Europe
376|urn:uuid:016f8aee-74e2-416e-8c17-662d44645d70|jurist|male|writer|1871-1891|Western Europe
379|urn:uuid:24466f14-a4b1-4f83-b7c9-12d46797f5a4|economist|male|scientist|1891-1911|Central Europe
381|urn:uuid:9811eb18-ba21-4656-945c-97b8f293b578|economist|male|writer|1851-1871|Scandinavia
382|urn:uuid:9811eb18-ba21-4656-945c-97b8f293b578|economist|male|scientist|1851-1871|Scandinavia
385|urn:uuid:00f43acf-e088-4867-b5dd-146f5b98bed5|jurist|male|politician|1891-1911|Central Europe
386|urn:uuid:00f43acf-e088-4867-b5dd-146f5b98bed5|jurist|male|teacher|1891-1911|Central Europe
387|urn:uuid:00f43acf-e088-4867-b5dd-146f5b98bed5|jurist|male|scientist|1891-1911|Central Europe
391|urn:uuid:5779d379-f72c-4e1f-9b3b-5fbdadba4ca3|economist|male|scientist|1891-1911|Central Europe
393|urn:uuid:ba2a3bd5-4bdb-410b-b737-a28dc00baada|jurist|male|other_occupation|1911-1931|Central Europe
395|urn:uuid:5389fa97-f963-427b-8571-e3e19f16fb8e|economist|female|media person|1931-1951|Central Europe
396|urn:uuid:5389fa97-f963-427b-8571-e3e19f16fb8e|economist|female|scientist|1931-1951|Central Europe
397|urn:uuid:5389fa97-f963-427b-8571-e3e19f16fb8e|economist|female|writer|1931-1951|Central Europe
401|urn:uuid:5b2c0f38-c6d9-44e5-abf0-a126881f155d|jurist/economist|male|scientist|1791-1811|Central Europe
402|urn:uuid:5b2c0f38-c6d9-44e5-abf0-a126881f155d|jurist/economist|male|politician|1791-1811|Central Europe
407|urn:uuid:2f19629b-da92-4cf9-82d4-1b374fa6f2a1|jurist/economist|male|scientist|1871-1891|Central Europe
411|urn:uuid:b53cc83c-6004-4189-9233-6f0d814b08a2|economist|male|scientist|1891-1911|Central Europe
413|urn:uuid:8cceebb5-115c-449a-9812-78f25deaab49|economist|male|scientist|1911-1931|Central Europe
415|urn:uuid:2d3bb527-74d5-4ab2-9199-a104cc10ce81|economist|male|scientist|1931-1951|Central Europe
417|urn:uuid:f6558a66-ba81-445a-839b-eba87e1ac5d2|economist|male|writer|1931-1951|Central Europe
418|urn:uuid:f6558a66-ba81-445a-839b-eba87e1ac5d2|economist|male|teacher|1931-1951|Central Europe
421|urn:uuid:bd708b06-f3b2-46a0-a1af-e23bd6ec87d3|economist|male|scientist|1871-1891|Central Europe
422|urn:uuid:bd708b06-f3b2-46a0-a1af-e23bd6ec87d3|economist|male|writer|1871-1891|Central Europe
427|urn:uuid:071b1b92-4bcf-4b98-99a6-cec83250756b|jurist/economist|male|media person|1891-1911|Central Europe
428|urn:uuid:071b1b92-4bcf-4b98-99a6-cec83250756b|jurist/economist|male|businessperson|1891-1911|Central Europe
429|urn:uuid:071b1b92-4bcf-4b98-99a6-cec83250756b|jurist/economist|male|scientist|1891-1911|Central Europe
430|urn:uuid:071b1b92-4bcf-4b98-99a6-cec83250756b|jurist/economist|male|writer|1891-1911|Central Europe
437|urn:uuid:8810b1ae-5ee7-4542-86ec-bf488d6b1f66|economist|male|scientist|1911-1931|Central Europe
439|urn:uuid:0a697509-8190-42b0-8fa1-5883812ac67f|economist|male|other|1891-1911|Central Europe
441|urn:uuid:e55863d4-17fe-42ba-80d9-e4d41e2353a2|economist|male|politician|1911-1931|Central Europe
443|urn:uuid:52b4d541-56bf-4999-aebe-3b96bc8927f2|jurist|male|scientist|1891-1911|Central Europe
447|urn:uuid:79efe18f-811b-4e1d-8c40-51ec0f4a1669|economist|male|scientist|1911-1931|Central Europe
449|urn:uuid:0ad03a81-04d6-41ae-96d7-b2797652ed4a|jurist|male|politician|1871-1891|Scandinavia
451|urn:uuid:a11522d7-2b2a-4634-a708-966c5ae8308d|economist|male|scientist|1891-1911|Central Europe
453|urn:uuid:900ef877-df49-4adc-b55e-29595a18f5db|economist|male|scientist|1891-1911|Central Europe
455|urn:uuid:cedec583-3eb9-433c-89b8-0c23903e1eac|jurist|female|scientist|1871-1891|Central Europe
459|urn:uuid:7b16ca2b-0163-4510-8ccc-4442c0701c36|economist|female|scientist|1891-1911|Central Europe
461|urn:uuid:8955f8de-def0-4116-b85d-bd2ea7cc9967|economist|male|scientist|1891-1911|Central Europe
465|urn:uuid:60486907-fb72-4a89-a63f-300322424574|jurist|male|politician|1851-1871|Central Europe
466|urn:uuid:60486907-fb72-4a89-a63f-300322424574|jurist|male|media person|1851-1871|Central Europe
467|urn:uuid:60486907-fb72-4a89-a63f-300322424574|jurist|male|writer|1851-1871|Central Europe
468|urn:uuid:60486907-fb72-4a89-a63f-300322424574|jurist|male|businessperson|1851-1871|Central Europe
469|urn:uuid:60486907-fb72-4a89-a63f-300322424574|jurist|male|other|1851-1871|Central Europe
475|urn:uuid:0ad97119-3fda-4790-8b2d-1102ef9ac406|jurist|male|media person|1871-1891|Central Europe
477|urn:uuid:c9b4ae96-13b2-4fdd-8f92-cec5796d2686|economist|male|scientist|1891-1911|Central Europe
481|urn:uuid:e1de8b05-f833-4651-8607-c78bdaf13a6f|jurist|male|scientist|1911-1931|Eastern Europe
483|urn:uuid:637ff901-b3b9-4677-a488-2f87b0665354|economist|male|scientist|1891-1911|Eastern Europe
485|urn:uuid:fa2f30ab-7b92-4ae6-8299-7d9167436f78|economist|male|politician|1931-1951|Southern Europe
486|urn:uuid:fa2f30ab-7b92-4ae6-8299-7d9167436f78|economist|male|scientist|1931-1951|Southern Europe
487|urn:uuid:fa2f30ab-7b92-4ae6-8299-7d9167436f78|economist|male|other|1931-1951|Southern Europe
494|urn:uuid:0a0e8f21-8ad3-4de1-b138-5e1708819f96|economist|male|writer|1911-1931|Central Europe
495|urn:uuid:0a0e8f21-8ad3-4de1-b138-5e1708819f96|economist|male|scientist|1911-1931|Central Europe
496|urn:uuid:0a0e8f21-8ad3-4de1-b138-5e1708819f96|economist|male|businessperson|1911-1931|Central Europe
500|urn:uuid:21bbcbf3-a7ac-4507-a37e-1090f91f1bbb|economist|male|scientist|1891-1911|Central Europe
502|urn:uuid:21bbcbf3-a7ac-4507-a37e-1090f91f1bbb|economist|male|other|1891-1911|Central Europe
506|urn:uuid:1f298a20-297c-4d32-9d68-cf494da7958a|economist|male|scientist|1911-1931|Central Europe
510|urn:uuid:720f3146-0439-4311-8f69-bae188ec70ec|economist|male|teacher|1891-1911|Eastern Europe
511|urn:uuid:720f3146-0439-4311-8f69-bae188ec70ec|economist|male|scientist|1891-1911|Eastern Europe
514|urn:uuid:c6e9f211-ca77-4798-89a7-55c6332becac|jurist|male|politician|1851-1871|Central Europe
516|urn:uuid:5d0b8608-ecc5-42a8-baac-2bfaa3965d29|economist|male|scientist|1891-1911|Central Europe
520|urn:uuid:e0ad8e16-d1bf-4179-9142-fd5156c74557|economist|male|politician|1911-1931|Central Europe
521|urn:uuid:e0ad8e16-d1bf-4179-9142-fd5156c74557|economist|male|businessperson|1911-1931|Central Europe
522|urn:uuid:e0ad8e16-d1bf-4179-9142-fd5156c74557|economist|male|writer|1911-1931|Central Europe
526|urn:uuid:73b90396-2ee8-4fa3-9b5a-3001486a52a5|jurist|male|politician|1791-1811|Central Europe
527|urn:uuid:f25afe0f-2538-4e87-8e9f-3cb3781c777b|jurist|male|writer|1911-1931|Central Europe
528|urn:uuid:554cea23-1a86-462f-a5bb-3f7820e9cb40|economist|male|scientist|1931-1951|Central Europe
529|urn:uuid:4ac540a9-5fa3-4574-886f-33c7e861ebbb|jurist|male|scientist|1931-1951|Central Europe
530|urn:uuid:6b84f9cb-fe3c-448a-aea9-3c799c54fcc1|economist|male|scientist|1931-1951|Central Europe
531|urn:uuid:f40351e0-14c4-4b60-b6b2-398b2d1f514e|economist|male|politician|1851-1871|Central Europe
532|urn:uuid:f40351e0-14c4-4b60-b6b2-398b2d1f514e|economist|male|scientist|1851-1871|Central Europe
534|urn:uuid:43cc6d1f-144a-46d1-b531-66d137610157|jurist|male|scientist|1791-1811|Central Europe
535|urn:uuid:ab779ff3-aa55-4c5a-95c3-5c2c9efa4fe1|jurist|male|businessperson|1911-1931|Central Europe
536|urn:uuid:a4502711-12d7-43a3-91c6-390b36d4282a|jurist|male|politician|1931-1951|Central Europe
537|urn:uuid:743ba3d4-f8b5-4fae-8732-6d854aba2258|economist|male|scientist|1891-1911|Central Europe
