nationality|freq|code|continent|region
South Ossetia|1|South|Europe|Eastern Europe
Southern Netherlands|1|South|Europe|Western Europe
Sovereign Principality of the United Netherlands|1|Sover|Europe|Western Europe
Spain under the Restoration|1|Spain|Europe|Southern Europe
Spaniards|1|Spani|Europe|Southern Europe
Third Czechoslovak Republic|1|Third|Europe|Central Europe
Ticino|1|Ticin|Europe|Western Europe
Transcaucasian Commissariat|1|Trans|Europe|Eastern Europe
Union between Sweden and Norway|1|Union|Europe|Scandinavia
United Kingdom of the Netherlands|1|Unite|Europe|Western Europe
Vatican City|1|Vatic|Europe|Southern Europe
Wallachia|1|Walla|Europe|Southeastern Europe
Western Moldavia|1|Weste|Europe|Southeastern Europe
Württemberg|1|Württ|Europe|Central Europe
duchy of Saxe-Coburg and Gotha|1|duchy|Europe|Central Europe
