|type|gender|occupation|generation|continent
347|jurist|female|writer|1931-1951|North Am.
348|jurist|male|politician|1931-1951|North Am.
349|jurist|male|businessperson|1951-1971|North Am.
351|jurist|male|politician|1831-1851|North Am.
352|jurist|male|politician|1931-1951|North Am.
353|jurist|male|politician|1891-1911|North Am.
356|jurist|male|writer|1851-1871|North Am.
357|jurist|male|scientist|1851-1871|North Am.
358|jurist|male|writer|1831-1851|North Am.
359|jurist|male|teacher|1831-1851|North Am.
360|jurist|male|politician|1871-1891|North Am.
363|jurist|male|politician|1931-1951|North Am.
364|jurist|male|other_occupation|1931-1951|North Am.
365|jurist|male|politician|1891-1911|North Am.
366|economist|male|scientist|1911-1931|North Am.
367|economist|male|writer|1911-1931|North Am.
368|jurist|male|politician|1811-1831|North Am.
369|jurist|male|politician|1851-1871|North Am.
370|jurist|male|politician|1891-1911|North Am.
372|jurist|male|politician|1831-1851|North Am.
373|jurist|male|politician|1891-1911|North Am.
374|jurist|male|politician|1831-1851|North Am.
375|jurist|male|politician|1931-1951|North Am.
376|jurist|male|politician|1931-1951|North Am.
377|jurist|male|politician|1871-1891|North Am.
378|jurist|male|politician|1851-1871|North Am.
379|jurist|male|politician|1831-1851|North Am.
380|jurist|male|politician|1811-1831|North Am.
381|jurist|male|politician|1871-1891|North Am.
382|jurist|female|scientist|1931-1951|North Am.
383|jurist|male|politician|1911-1931|North Am.
384|jurist|male|politician|1871-1891|North Am.
385|jurist|female|politician|1931-1951|North Am.
386|jurist|male|politician|1871-1891|North Am.
387|jurist|male|writer|1871-1891|North Am.
388|jurist|male|politician|1891-1911|North Am.
389|jurist|male|politician|1871-1891|North Am.
390|jurist|male|politician|1931-1951|North Am.
391|jurist|male|politician|1891-1911|North Am.
393|jurist|male|politician|1851-1871|North Am.
394|jurist|male|politician|1831-1851|North Am.
395|jurist|male|media person|1831-1851|North Am.
396|jurist|male|politician|1871-1891|North Am.
397|jurist|male|politician|1851-1871|North Am.
399|jurist|male|politician|1931-1951|North Am.
402|jurist|male|politician|1871-1891|North Am.
407|jurist|male|politician|1951-1971|North Am.
409|jurist|male|politician|1891-1911|North Am.
415|economist|male|scientist|1931-1951|North Am.
416|jurist|male|politician|1871-1891|North Am.
417|jurist|male|politician|1811-1831|North Am.
418|jurist|male|politician|1891-1911|North Am.
419|jurist|male|politician|1811-1831|North Am.
420|jurist|male|businessperson|1811-1831|North Am.
421|jurist|male|politician|1871-1891|North Am.
422|jurist|male|politician|1851-1871|North Am.
423|jurist|male|politician|1851-1871|North Am.
424|jurist|male|politician|1831-1851|North Am.
426|jurist|male|politician|1831-1851|North Am.
427|jurist|male|politician|1811-1831|North Am.
429|jurist|male|politician|1931-1951|North Am.
430|jurist|male|politician|1911-1931|North Am.
431|jurist|male|politician|1851-1871|North Am.
432|jurist|male|politician|1931-1951|North Am.
433|jurist|male|politician|1871-1891|North Am.
435|jurist|male|politician|1931-1951|North Am.
438|economist|male|scientist|1931-1951|North Am.
439|economist|male|politician|1911-1931|North Am.
440|jurist|male|politician|1931-1951|North Am.
441|jurist|male|businessperson|1931-1951|North Am.
442|jurist|male|politician|1831-1851|North Am.
443|economist|male|politician|1931-1951|North Am.
444|jurist|male|politician|1931-1951|North Am.
445|jurist|male|politician|1931-1951|North Am.
446|jurist|male|politician|1931-1951|North Am.
447|economist|male|businessperson|1931-1951|North Am.
449|jurist|male|politician|1931-1951|North Am.
450|jurist|male|politician|1931-1951|North Am.
451|jurist|female|politician|1931-1951|North Am.
453|jurist|male|politician|1931-1951|North Am.
456|jurist|male|politician|1851-1871|North Am.
457|jurist|male|politician|1931-1951|North Am.
458|jurist|male|politician|1831-1851|North Am.
461|jurist|male|politician|1831-1851|North Am.
462|jurist|male|media person|1831-1851|North Am.
463|jurist|male|scientist|1831-1851|North Am.
464|jurist|male|teacher|1831-1851|North Am.
465|jurist|male|other_occupation|1831-1851|North Am.
466|jurist|male|politician|1871-1891|North Am.
467|jurist|male|politician|1811-1831|North Am.
468|jurist|female|politician|1931-1951|North Am.
469|jurist|male|politician|1871-1891|North Am.
470|jurist|male|politician|1871-1891|North Am.
471|jurist|male|politician|1831-1851|North Am.
472|jurist|male|politician|1851-1871|North Am.
473|jurist|male|politician|1871-1891|North Am.
474|jurist|male|politician|1931-1951|North Am.
475|jurist|male|politician|1831-1851|North Am.
477|jurist|male|politician|1891-1911|North Am.
478|jurist|male|scientist|1891-1911|North Am.
479|jurist|male|politician|1911-1931|North Am.
480|jurist|male|politician|1891-1911|North Am.
481|jurist|male|writer|1891-1911|North Am.
482|jurist|male|politician|1851-1871|North Am.
483|jurist|male|politician|1931-1951|North Am.
484|jurist|male|businessperson|1931-1951|North Am.
485|jurist|male|media person|1931-1951|North Am.
486|jurist|male|politician|1851-1871|North Am.
487|jurist|male|politician|1851-1871|North Am.
488|economist|male|politician|1931-1951|North Am.
489|jurist|male|politician|1851-1871|North Am.
492|jurist|male|politician|1831-1851|North Am.
493|jurist|male|politician|1831-1851|North Am.
494|jurist|male|politician|1831-1851|North Am.
495|jurist|male|businessperson|1831-1851|North Am.
496|jurist|male|politician|1891-1911|North Am.
497|jurist|male|politician|1931-1951|North Am.
498|jurist|male|politician|1911-1931|North Am.
500|jurist|male|politician|1891-1911|North Am.
501|jurist|male|politician|1831-1851|North Am.
502|jurist|male|politician|1851-1871|North Am.
503|jurist|male|politician|1891-1911|North Am.
504|jurist|male|politician|1891-1911|North Am.
505|jurist|male|media person|1871-1891|North Am.
507|jurist|male|politician|1931-1951|North Am.
508|jurist|male|politician|1871-1891|North Am.
509|jurist|male|politician|1911-1931|North Am.
510|economist|male|businessperson|1931-1951|North Am.
511|jurist|male|politician|1931-1951|North Am.
514|jurist|male|politician|1911-1931|North Am.
515|jurist|male|politician|1911-1931|North Am.
516|jurist|male|politician|1911-1931|North Am.
517|jurist|male|politician|1891-1911|North Am.
518|jurist|male|politician|1831-1851|North Am.
519|jurist|male|politician|1911-1931|North Am.
520|jurist|male|politician|1851-1871|North Am.
521|jurist|male|politician|1931-1951|North Am.
522|jurist|male|politician|1811-1831|North Am.
523|jurist|male|politician|1851-1871|North Am.
524|jurist|male|politician|1851-1871|North Am.
526|jurist|male|politician|1871-1891|North Am.
529|jurist|male|politician|1931-1951|North Am.
530|jurist|male|businessperson|1931-1951|North Am.
531|jurist|male|politician|1871-1891|North Am.
532|jurist|male|politician|1911-1931|North Am.
533|jurist|male|scientist|1911-1931|North Am.
534|jurist|male|politician|1931-1951|North Am.
535|jurist|male|politician|1911-1931|North Am.
536|jurist|male|politician|1871-1891|North Am.
537|jurist/economist|male|businessperson|1891-1911|North Am.
538|jurist|male|politician|1931-1951|North Am.
539|jurist|male|scientist|1811-1831|North Am.
540|jurist|male|other_occupation|1811-1831|North Am.
541|jurist|male|writer|1811-1831|North Am.
542|jurist|male|politician|1831-1851|North Am.
543|jurist|male|politician|1931-1951|North Am.
544|jurist|male|politician|1911-1931|North Am.
545|economist|male|scientist|1931-1951|North Am.
547|jurist|male|politician|1931-1951|North Am.
548|jurist|male|media person|1931-1951|North Am.
549|jurist|male|politician|1931-1951|North Am.
550|jurist|male|politician|1911-1931|North Am.
551|jurist|male|politician|1931-1951|North Am.
552|jurist/economist|male|politician|1931-1951|North Am.
556|jurist|male|politician|1851-1871|North Am.
557|jurist|male|media person|1851-1871|North Am.
558|jurist|male|politician|1931-1951|North Am.
559|jurist|male|politician|1931-1951|North Am.
560|jurist|male|politician|1931-1951|North Am.
561|jurist|male|politician|1931-1951|North Am.
562|jurist|male|politician|1851-1871|North Am.
563|jurist|male|politician|1871-1891|North Am.
564|jurist|male|politician|1851-1871|North Am.
565|jurist|male|politician|1931-1951|North Am.
566|jurist|male|politician|1871-1891|North Am.
567|jurist|male|politician|1851-1871|North Am.
568|economist|male|politician|1931-1951|North Am.
569|economist|male|scientist|1931-1951|North Am.
570|jurist|male|politician|1871-1891|North Am.
571|jurist|male|politician|1831-1851|North Am.
572|jurist|male|politician|1911-1931|North Am.
573|economist|male|politician|1931-1951|North Am.
574|economist|male|scientist|1931-1951|North Am.
575|jurist|male|politician|1931-1951|North Am.
576|jurist|male|politician|1911-1931|North Am.
577|jurist|male|politician|1811-1831|North Am.
578|jurist|male|politician|1871-1891|North Am.
580|jurist|male|politician|1891-1911|North Am.
581|jurist|male|politician|1871-1891|North Am.
582|jurist|male|politician|1871-1891|North Am.
583|jurist|male|politician|1851-1871|North Am.
584|jurist|male|politician|1871-1891|North Am.
585|jurist|male|politician|1891-1911|North Am.
586|jurist|male|politician|1871-1891|North Am.
587|jurist|male|politician|1851-1871|North Am.
588|jurist|male|politician|1851-1871|North Am.
589|jurist|male|politician|1811-1831|North Am.
590|jurist|male|politician|1931-1951|North Am.
591|jurist|male|politician|1831-1851|North Am.
592|jurist|male|politician|1851-1871|North Am.
593|jurist|male|politician|1911-1931|North Am.
595|jurist|male|businessperson|1931-1951|North Am.
596|jurist|male|politician|1931-1951|North Am.
597|economist|male|writer|1931-1951|North Am.
598|jurist|male|politician|1831-1851|North Am.
599|jurist|male|media person|1831-1851|North Am.
600|jurist|male|other_occupation|1831-1851|North Am.
601|jurist|male|politician|1891-1911|North Am.
602|jurist|male|politician|1851-1871|North Am.
603|jurist|female|politician|1931-1951|North Am.
605|jurist|female|politician|1931-1951|North Am.
606|jurist|male|politician|1851-1871|North Am.
607|jurist|male|politician|1811-1831|North Am.
608|jurist|male|politician|1851-1871|North Am.
609|jurist|male|politician|1851-1871|North Am.
610|jurist|male|politician|1891-1911|North Am.
611|jurist|male|politician|1871-1891|North Am.
612|jurist|male|politician|1831-1851|North Am.
613|jurist|male|politician|1871-1891|North Am.
614|jurist|male|other_occupation|1871-1891|North Am.
615|jurist|male|politician|1911-1931|North Am.
616|jurist|male|other_occupation|1911-1931|North Am.
617|jurist|male|scientist|1911-1931|North Am.
618|jurist|male|politician|1851-1871|North Am.
619|jurist|male|politician|1851-1871|North Am.
620|jurist|male|politician|1871-1891|North Am.
621|jurist|male|politician|1891-1911|North Am.
623|jurist|male|politician|1931-1951|North Am.
624|jurist|female|politician|1931-1951|North Am.
626|economist|male|scientist|1931-1951|North Am.
627|jurist|male|politician|1911-1931|North Am.
628|jurist|male|politician|1931-1951|North Am.
629|jurist|female|writer|1931-1951|North Am.
630|jurist|female|politician|1911-1931|North Am.
632|jurist|male|politician|1891-1911|North Am.
633|jurist|male|politician|1891-1911|North Am.
634|economist|male|politician|1931-1951|North Am.
635|jurist|male|politician|1931-1951|North Am.
636|jurist|male|businessperson|1931-1951|North Am.
637|jurist|female|politician|1931-1951|North Am.
638|economist|male|writer|1931-1951|North Am.
639|jurist|male|politician|1891-1911|North Am.
640|jurist|female|politician|1891-1911|North Am.
641|jurist|male|politician|1831-1851|North Am.
642|jurist|male|politician|1831-1851|North Am.
643|jurist|male|media person|1831-1851|North Am.
645|jurist|male|politician|1851-1871|North Am.
646|jurist|male|politician|1831-1851|North Am.
647|jurist|male|politician|1851-1871|North Am.
648|jurist|male|media person|1851-1871|North Am.
649|jurist|male|politician|1851-1871|Europe
650|jurist|male|media person|1851-1871|Europe
652|jurist|male|politician|1851-1871|North Am.
653|jurist|male|politician|1851-1871|North Am.
654|jurist|male|media person|1851-1871|North Am.
655|jurist|male|politician|1871-1891|North Am.
657|jurist|male|politician|1931-1951|North Am.
658|jurist|male|politician|1951-1971|North Am.
659|jurist|male|politician|1911-1931|North Am.
660|jurist|male|writer|1911-1931|North Am.
661|jurist|male|other_occupation|1911-1931|North Am.
662|jurist|male|politician|1911-1931|North Am.
664|jurist|male|businessperson|1931-1951|North Am.
665|jurist|male|other_occupation|1931-1951|North Am.
666|jurist|male|politician|1851-1871|North Am.
668|jurist|male|politician|1851-1871|North Am.
669|jurist|male|politician|1891-1911|North Am.
670|jurist|male|politician|1871-1891|North Am.
671|jurist|male|politician|1831-1851|North Am.
672|jurist|male|politician|1771-1791|North Am.
673|jurist|male|politician|1871-1891|North Am.
674|jurist|male|politician|1871-1891|North Am.
675|jurist|male|politician|1931-1951|North Am.
676|economist|male|politician|1931-1951|North Am.
678|jurist|male|politician|1931-1951|North Am.
679|jurist|male|politician|1851-1871|North Am.
680|jurist|male|politician|1931-1951|North Am.
681|jurist|male|politician|1931-1951|North Am.
682|jurist|male|politician|1831-1851|North Am.
683|jurist|male|politician|1931-1951|North Am.
685|jurist|male|politician|1931-1951|North Am.
686|jurist|male|media person|1931-1951|North Am.
687|economist|female|politician|1931-1951|North Am.
689|jurist|male|politician|1911-1931|North Am.
690|jurist|male|politician|1831-1851|North Am.
691|jurist|male|writer|1851-1871|North Am.
692|economist|male|politician|1931-1951|North Am.
693|jurist|male|politician|1931-1951|North Am.
697|jurist|male|politician|1911-1931|North Am.
698|jurist|male|scientist|1931-1951|North Am.
699|jurist|male|politician|1871-1891|North Am.
700|jurist|male|politician|1891-1911|North Am.
701|jurist|male|politician|1951-1971|North Am.
702|jurist|male|other_occupation|1951-1971|North Am.
703|jurist|female|media person|1931-1951|North Am.
711|jurist|male|politician|1851-1871|North Am.
712|jurist|male|politician|1891-1911|North Am.
713|jurist|female|politician|1931-1951|North Am.
714|jurist|male|politician|1831-1851|North Am.
715|jurist|male|politician|1931-1951|North Am.
717|economist|male|scientist|1931-1951|North Am.
718|economist|male|writer|1931-1951|North Am.
719|economist|male|scientist|1931-1951|North Am.
720|jurist|male|politician|1851-1871|North Am.
721|jurist|male|politician|1871-1891|North Am.
723|jurist|male|politician|1871-1891|North Am.
726|jurist|male|politician|1871-1891|North Am.
727|jurist|male|politician|1891-1911|North Am.
728|jurist|male|politician|1851-1871|North Am.
729|jurist|male|politician|1831-1851|North Am.
730|jurist|male|scientist|1931-1951|North Am.
731|jurist|male|politician|1911-1931|North Am.
732|jurist|male|other_occupation|1911-1931|North Am.
733|jurist|male|politician|1931-1951|North Am.
734|jurist|male|politician|1851-1871|North Am.
735|jurist|male|politician|1851-1871|North Am.
737|jurist|male|politician|1931-1951|North Am.
738|jurist|male|businessperson|1931-1951|North Am.
740|economist|male|politician|1871-1891|North Am.
741|economist|male|businessperson|1871-1891|North Am.
742|economist|male|scientist|1871-1891|North Am.
743|economist|male|other_occupation|1871-1891|North Am.
744|economist|male|other_occupation|1871-1891|North Am.
745|jurist|male|politician|1911-1931|North Am.
746|jurist|male|politician|1811-1831|North Am.
748|jurist|male|politician|1811-1831|North Am.
749|jurist|male|politician|1851-1871|North Am.
750|jurist|male|politician|1891-1911|North Am.
754|jurist|male|politician|1931-1951|North Am.
756|economist|male|scientist|1851-1871|North Am.
761|jurist|male|politician|1911-1931|North Am.
762|jurist|male|writer|1911-1931|North Am.
763|economist|male|politician|1931-1951|North Am.
764|economist|male|scientist|1931-1951|North Am.
765|jurist|male|scientist|1891-1911|North Am.
766|economist|male|media person|1931-1951|North Am.
767|economist|male|scientist|1931-1951|North Am.
768|economist|male|media person|1931-1951|Europe
769|economist|male|scientist|1931-1951|Europe
770|jurist|male|politician|1831-1851|North Am.
771|jurist|male|politician|1891-1911|North Am.
773|jurist|male|politician|1851-1871|North Am.
774|jurist|male|scientist|1851-1871|North Am.
775|jurist|male|politician|1811-1831|North Am.
779|jurist|male|politician|1931-1951|North Am.
780|jurist|male|politician|1851-1871|North Am.
781|jurist|male|politician|1791-1811|North Am.
782|economist|male|politician|1911-1931|North Am.
786|jurist|male|politician|1911-1931|North Am.
787|jurist|male|politician|1911-1931|North Am.
788|jurist|male|businessperson|1931-1951|North Am.
789|jurist|male|politician|1891-1911|North Am.
790|jurist|male|politician|1911-1931|North Am.
791|jurist|male|politician|1911-1931|North Am.
792|jurist|male|politician|1931-1951|North Am.
793|jurist|male|politician|1831-1851|North Am.
794|jurist|male|politician|1871-1891|North Am.
795|jurist|male|politician|1851-1871|North Am.
796|jurist|male|politician|1851-1871|North Am.
797|jurist|male|politician|1891-1911|North Am.
799|jurist|male|politician|1891-1911|North Am.
800|jurist|male|politician|1891-1911|North Am.
801|jurist|male|politician|1911-1931|North Am.
802|jurist|male|politician|1831-1851|North Am.
803|jurist|male|politician|1851-1871|North Am.
804|jurist|male|politician|1851-1871|North Am.
805|jurist|male|politician|1931-1951|North Am.
806|jurist|male|athlete|1851-1871|North Am.
807|jurist|male|athlete|1851-1871|Europe
808|jurist|male|politician|1871-1891|North Am.
809|jurist|male|politician|1911-1931|North Am.
810|jurist|male|politician|1851-1871|North Am.
811|jurist|male|politician|1931-1951|North Am.
812|jurist|male|politician|1851-1871|North Am.
813|jurist|male|politician|1851-1871|Europe
814|jurist|male|politician|1851-1871|North Am.
816|jurist|male|politician|1851-1871|North Am.
